6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,timestamp
(-11-5j),(-12-8j),(-14-9j),(-15-9j),(-16-12j),(-15-10j),(-18-11j),(-18-10j),(-20-13j),(-22-10j),(-22-10j),(-26-11j),(-24-8j),(-22-7j),(-19-6j),(-21-5j),(-19-2j),(-15-3j),(-14-1j),(-8+2j),(-3+1j),(-8-3j),(2+0j),-1j,(3-6j),(7-5j),(9-7j),(12-7j),(14-6j),(17-7j),(14-9j),(16-9j),(15-12j),(14-13j),(10-10j),(7-7j),(10-4j),(12-1j),(12+3j),(17+5j),(13+11j),(14+5j),(21+9j),(17+9j),(20+10j),(24+8j),(19+6j),(25+12j),(21+15j),(19+8j),(21+14j),(14+9j),1697887062.9540765
(12-9j),(13-5j),(16-7j),(18-6j),(19-6j),(20-9j),(22-6j),(22-8j),(23-9j),(23-9j),(26-7j),(29-7j),(27-10j),(26-11j),(21-7j),(18-11j),(18-12j),(13-6j),(12-10j),(7-9j),(5+0j),(3-2j),(-3+1j),(-8+1j),(-3+5j),(-7+8j),(-7+6j),(-9+11j),(-14+9j),(-16+11j),(-16+11j),(-19+15j),(-16+13j),(-19+12j),(-9+18j),(-8+13j),(-8-1j),(-11-3j),(-17-1j),(-19-4j),(-21-8j),(-19-17j),(-25-20j),(-18-13j),(-20-17j),(-20-18j),(-19-17j),(-20-19j),(-19-26j),(-28-29j),(-21-17j),(-20-17j),1697887062.955508
(-2+13j),(-3+15j),(-2+18j),(-4+21j),(-3+21j),(-5+22j),(-4+24j),(-3+24j),(-3+26j),(-3+26j),(-6+27j),(-2+28j),(-2+27j),27j,(2+22j),(5+26j),(4+20j),(3+16j),(6+17j),(3+7j),(1+6j),(1+3j),(-2-1j),(-2-6j),(-1-4j),(-8-8j),(-9-12j),(-8-13j),(-11-15j),(-13-16j),(-15-15j),(-18-15j),(-16-18j),(-22-10j),(-16-13j),(-7-10j),(-4-12j),(-3-14j),(1-17j),-18j,(1-22j),(3-24j),(6-24j),(7-27j),(6-27j),(6-28j),(6-27j),(7-28j),(8-27j),(10-25j),(9-24j),(10-23j),1697887062.955508
(12-7j),(12-7j),(16-9j),(18-9j),(18-11j),(18-11j),(20-12j),(18-13j),(20-12j),(24-15j),(18-13j),(22-17j),(22-18j),(19-18j),(15-17j),(17-18j),(13-16j),(7-15j),(8-10j),(7-10j),(3-4j),(3+0j),(2+0j),(3+5j),(-1+8j),(6+9j),(2+10j),(-1+11j),(-1+15j),16j,(1+18j),(3+20j),(2+20j),(2+19j),(3+19j),(3+12j),(-3+11j),(-4+12j),(-9+12j),(-11+11j),(-10+15j),(-14+15j),(-20+23j),(-12+13j),(-20+14j),(-16+16j),(-22+15j),(-24+17j),(-13+12j),(-17+13j),(-20+23j),(-22+15j),1697887062.971145
(5-12j),(7-15j),(10-16j),(10-18j),(12-18j),(8-19j),(13-20j),(9-19j),(15-22j),(10-23j),(17-23j),(14-26j),(14-24j),(13-22j),(10-21j),(11-23j),(9-20j),(3-17j),(4-14j),-13j,(2-6j),(9-3j),(-1-3j),(8+1j),(2+4j),(7+13j),(4+14j),(2+9j),(3+15j),(1+12j),(3+17j),(3+18j),(5+18j),(5+16j),(5+15j),(5+12j),(-1+10j),(-3+11j),(-9+10j),(-9+16j),(-12+15j),(-16+8j),(-20+19j),(-19+16j),(-21+15j),(-21+17j),(-19+12j),(-24+15j),(-18+17j),(-13+10j),(-19+4j),(-19+16j),1697887062.989221
(9-10j),(10-10j),(13-12j),(14-11j),(15-11j),(13-12j),(14-15j),(17-15j),(18-17j),(17-15j),(18-17j),(19-20j),(18-20j),(16-19j),(13-20j),(14-20j),(6-19j),(9-13j),(7-11j),(10-13j),(2-13j),(6-7j),(4-6j),(5+7j),(3+4j),(4+4j),(6+9j),(1+11j),12j,(3+17j),(7+16j),(7+17j),(4+15j),(11+14j),(11+16j),(10+8j),(3+9j),(-3+8j),11j,(-5+11j),(-10+15j),(-4+23j),(-12+16j),(-15+13j),(-13+19j),(-11+19j),(-8+23j),(-9+16j),(-12+19j),(-19+18j),(-8+23j),(-18+19j),1697887063.0015686
(-5+11j),(-6+10j),(-7+11j),(-8+14j),(-8+14j),(-8+15j),(-9+17j),(-8+17j),(-8+18j),(-8+18j),(-6+21j),(-6+22j),(-4+22j),22j,19j,(2+23j),(-7+19j),(-1+10j),(3+8j),(1+10j),(-1+9j),7j,(1+3j),(-2+0j),(-6-2j),(-7-1j),(-9-1j),(-8-4j),(-10-7j),(-12-7j),(-15-6j),(-18-6j),(-19-5j),(-17-2j),(-15-2j),(-11-2j),(-9-4j),(-9-6j),(-7-10j),(-7-12j),(-14-6j),(-6-13j),(-8-17j),(-1-16j),(-11-22j),(-7-16j),(-8-19j),(-15-8j),(-12-29j),(-4-14j),(-7-22j),(-10-20j),1697887063.0107977
(-14+4j),(-14+4j),(-18+6j),(-18+7j),(-18+8j),(-19+10j),(-19+13j),(-16+15j),(-17+17j),(-15+21j),(-15+22j),(-12+25j),(-9+24j),(-7+23j),(-4+22j),(-3+24j),(2+19j),(3+16j),(4+13j),(3+10j),(3+9j),(2+6j),(1+3j),(-3+1j),(-6+0j),(-9+3j),(-9+2j),(-12+1j),(-14+1j),(-16+2j),(-16+6j),(-20+7j),(-16+11j),(-12+11j),(-12+12j),(-6+11j),(-8+7j),(-9+6j),(-13+5j),(-14+5j),(-14+3j),(-12+5j),(-16+8j),(-21+7j),(-19+13j),(-22+15j),(-37+2j),-1j,(-11+33j),(-36+19j),(-20+19j),(-9+16j),1697887063.020795
(-9-11j),(-10-11j),(-11-15j),(-11-16j),(-11-18j),(-11-18j),(-12-21j),(-14-19j),(-13-21j),(-15-22j),(-13-24j),(-15-25j),(-14-23j),(-15-22j),(-13-17j),(-13-22j),(-13-17j),(-16-17j),(-11-12j),(-9-10j),(-9-10j),(-6-9j),(-2-8j),-3j,(7-2j),(7-6j),(8+0j),(8+1j),(11+5j),(14+5j),(14+5j),(17+6j),(17+4j),(18+4j),(18+2j),(11+2j),(8+4j),(8+4j),(6+7j),(6+9j),(-12+18j),(19+24j),(-6+8j),(4+20j),(2+22j),(1+22j),(3+22j),(-3+26j),(-1+22j),(-1+23j),25j,(-5+21j),1697887063.036476
(11+8j),(12+9j),(14+13j),(14+13j),(14+15j),(15+15j),(17+18j),(18+16j),(18+18j),(20+18j),(20+19j),(23+19j),(22+18j),(22+16j),(19+13j),(21+16j),(18+11j),(16+10j),(18+10j),(10+7j),(9+7j),(10+11j),(4+3j),3j,(-4+10j),(-7+3j),(-9+4j),(-11+1j),(-14+0j),(-18+0j),(-18+1j),(-21+1j),(-22+2j),(-21+1j),(-19+6j),(-14+4j),(-12-2j),(-11-3j),(-10-7j),(-8-10j),(-17-13j),(-13-4j),(-9-20j),(-9-20j),(-13-22j),(-17-22j),(-12-20j),(-16-25j),(-16-22j),(-14-24j),(-17-20j),(-11-11j),1697887063.036476
