6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,timestamp
(-1-9j),(-15-9j),(-7-12j),(-15-11j),(-17-11j),(-13-7j),(-16-12j),(-12-16j),(-20-11j),(-20-9j),(-22-10j),(-24-8j),(-22-6j),(-20-4j),(-19-2j),(-16-5j),(-8-5j),(-10-4j),(-10-4j),(-10-5j),(-8-5j),(-6-6j),(-4-7j),(-3-5j),(-1-10j),(1-10j),(4-13j),(4-11j),(5-13j),(7-14j),(6-16j),(8-20j),(6-18j),(6-18j),(4-15j),(3-11j),(7-12j),(9-12j),(10-11j),(12-11j),(12-11j),(14-10j),(15-10j),(15-8j),(15-9j),(15-7j),(16-9j),(15-8j),(14-8j),(13-6j),(13-5j),(13-2j),1697985786.5187793
(-7-11j),(-5-5j),(-16-9j),(-14-4j),(-17-8j),(-14-9j),(-26-9j),(-23-9j),(-21-4j),(-21-5j),(-23-5j),(-22-1j),(-21-1j),(-20+1j),(-16+2j),(-17+0j),(-14+0j),(-12+1j),(-11-1j),(-10-3j),(-9-3j),(-8-4j),(-6-4j),(-5-5j),(-4-7j),(-2-9j),(-1-12j),(-1-14j),-15j,(3-15j),(-2-17j),(1-16j),(1-18j),(-3-16j),(1-18j),(3-12j),(3-12j),(5-12j),(5-13j),(6-11j),(5-14j),(8-12j),(8-16j),(8-13j),(8-15j),(11-13j),(11-15j),(11-12j),(9-13j),(9-10j),(5-11j),(11-7j),1697985786.519772
(4-6j),(9-6j),(9-11j),(10-18j),(10-12j),(9-18j),(14-20j),(12-15j),(7-23j),(7-21j),(5-24j),(4-24j),(1-22j),(1-21j),(-1-19j),(1-18j),(-1-14j),(2-12j),(1-11j),(2-11j),(4-9j),(3-6j),(5-5j),(5-3j),(8-3j),(8-1j),(11+0j),(13+1j),(14+0j),(16+4j),(18+4j),(19+6j),(18+6j),(18+0j),(19-1j),(15+0j),(12+5j),(11+7j),(11+7j),(12+11j),(14+10j),(10+12j),(14+12j),(11+10j),(11+12j),(9+12j),(11+14j),(11+12j),(8+12j),(5+12j),(6+12j),(5+10j),1697985786.5317729
(-10-3j),(-12-5j),(-15-5j),(-19-3j),(-18-3j),(-19-3j),(-20-2j),(-21-1j),(-22+1j),(-22+1j),(-24+0j),(-25+3j),(-22+6j),(-18+6j),(-17+6j),(-15+6j),(-12+5j),(-12+3j),(-12+1j),(-10+3j),(-10-1j),(-9-1j),(-7-2j),(-7-3j),(-8-7j),(-4-7j),(-4-10j),(-4-12j),(-8-13j),(-3-15j),(-4-15j),(-10-17j),(-10-19j),(-11-14j),(-5-15j),(-5-12j),(1-5j),(-1-12j),(1-14j),(-3-13j),(-1-17j),(3-17j),(4-18j),(4-15j),(4-14j),(3-16j),(5-16j),(5-15j),(2-15j),(10-8j),(6-11j),(7-10j),1697985786.5387728
(-1-10j),(1-13j),-17j,(-2-19j),(-2-18j),(-2-18j),(-3-20j),(-3-20j),(-7-22j),(-8-22j),(-10-22j),(-11-22j),(-13-21j),(-12-17j),(-11-15j),(-10-14j),(-9-12j),(-8-11j),(-6-10j),(-5-9j),(-4-9j),(-1-11j),-6j,-7j,(4-6j),(7-9j),(9-10j),(9-8j),(14-7j),(13-8j),(14-9j),(14-10j),(14-10j),(14-12j),(13-7j),(13-6j),(11-7j),(12-6j),(13-3j),(16-2j),(15-5j),(17-2j),(18-1j),(16+0j),(16+0j),(15+0j),(17+0j),(19-2j),(16+0j),(14+2j),(13+2j),(12+3j),1697985786.556782
(23+21j),(22+30j),(35+45j),(39+46j),(36+51j),(37+44j),(46+57j),(52+44j),(58+53j),(64+46j),(70+54j),(69+44j),(65+36j),(69+26j),(63+20j),(69+25j),(2+7j),(49+25j),(39+17j),(20+25j),(5+32j),(6+23j),(20+25j),(-15+24j),(10+37j),(-4+37j),(-15+13j),(-31+60j),(-36+28j),(-36+41j),(-35+20j),(-53+35j),(-59+57j),(-35+47j),(-34+56j),(-38+54j),(-33+25j),(-33+28j),(-39+17j),(-61+4j),(-64+28j),(-64+16j),(-75+15j),(-54+15j),(-56+12j),(-66+13j),(-60+14j),(-52+5j),(-61+9j),(-61+6j),(-51-1j),(-57-8j),1697985786.5677788
9j,(-3+10j),(5+14j),(5+14j),(4+12j),(1+21j),(5+18j),(7+18j),(10+18j),(10+17j),(12+18j),(13+19j),(13+17j),(12+13j),(12+10j),(14+11j),(11+5j),(6+8j),(9+7j),(5+8j),(4+6j),(2+8j),6j,(-3+2j),(-4+10j),(-7+7j),(-7+9j),(-11+8j),(-11+8j),(-12+9j),(-10+13j),(-10+10j),(-16+17j),(-10+18j),(-15+8j),(-11+8j),(-15+7j),(-12+4j),(-12+8j),(-14+5j),(-16+5j),(-17+4j),(-19+5j),(-16+5j),(-18+6j),(-15+2j),(-17+4j),(-17+4j),(-16+5j),(-18+0j),(-15+0j),(-14-2j),1697985786.5818555
(1-14j),(-4-13j),-21j,(-4-26j),(-4-26j),(-1-26j),(-7-29j),(-2-26j),(-10-30j),(-10-29j),(-10-32j),(-14-32j),(-16-28j),(-15-25j),(-15-21j),(-13-21j),(-13-18j),(-11-15j),(-7-15j),(-6-11j),(-3-10j),(-2-12j),(1-8j),(3-8j),(6-7j),(10-7j),(14-8j),(17-8j),(18-7j),(20-7j),(21-9j),(23-11j),(23-12j),(19-10j),(20-12j),(17-10j),(19-7j),(19-3j),(21-2j),(24-1j),(22-3j),(25+0j),(25+2j),(25+1j),(26+1j),(25+1j),(25+3j),(24-10j),(22+2j),(21+3j),(19+5j),(19+7j),1697985786.5950918
(2-9j),(13-18j),(14-19j),(7-24j),(13-20j),(5-10j),-23j,(13-29j),(6-29j),(7-30j),(1-30j),(2-26j),(2-28j),-26j,(-4-20j),(-1-22j),(-2-17j),(-2-16j),-15j,(1-11j),(1-6j),(5-10j),(3-6j),(7-2j),(9-6j),(5-4j),(10-1j),(15-3j),(15+0j),(17+2j),(18+0j),(21-2j),(19-4j),(17-7j),(16-3j),(18-5j),(10+1j),(19+3j),(16+7j),(19+11j),(14+7j),(21+2j),(22+7j),(22+7j),(20+5j),(18+5j),(18+2j),(17+6j),(15+2j),(15+3j),(16+7j),(9+9j),1697985786.6081316
(4+23j),(-24+20j),(-19+42j),(-12+48j),(-23+36j),(-12+44j),(-14+44j),(-21+52j),(-5+50j),(-7+55j),(-1+60j),(3+63j),(10+59j),(11+48j),(8+49j),(10+52j),(14+40j),(16+32j),(6+30j),(-2+23j),(-3+19j),(-8+20j),(-9+15j),(-11+8j),(-20+4j),(-18+1j),(-38+7j),(-29-8j),(-45-4j),(-45-10j),(-49+2j),(-53-5j),(-57+5j),(-38+1j),(-45-1j),(-36-9j),(-30-12j),(-26-16j),(-38-16j),(-35-27j),(-36-21j),(-40-30j),(-41-31j),(-29-32j),(-33-32j),(-25-28j),(-34-34j),(-31-29j),(-29-32j),(-25-31j),(-19-30j),(-16-31j),1697985786.6281037
