6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,timestamp
(5+0j),(1+10j),(9+6j),(1+10j),(8+10j),(5+9j),(16+8j),(10+13j),(13+12j),(15+10j),(15+12j),(16+10j),(15+7j),(15+5j),(10+5j),(12+5j),(8+3j),(6+1j),(7+3j),(-2+0j),(-3+3j),(-2+10j),(-5+5j),(-9+1j),(-12+10j),(-7+7j),(-11+4j),(-16+10j),(-13+12j),(-14+6j),(-12+5j),(-16+9j),(-15+10j),(-16+10j),(-13+5j),(-14+8j),(-11+0j),(-14+0j),(-16-5j),(-13-7j),(-15-5j),(-15-3j),(-16-7j),(-17-3j),(-15+0j),(-14-3j),(-11-8j),(-7-10j),(-16-8j),(-6-7j),(-7-15j),(-7-13j),1697978119.3418803
(-12-8j),-9j,(-7-8j),(-8-13j),(-10-11j),(-10-14j),(-13-14j),(-12-9j),(-15-14j),(-16-12j),(-17-12j),(-18-9j),(-17-8j),(-17-7j),(-13-1j),(-15-5j),(-10-4j),(-9-5j),(-7-4j),(-2-5j),(-4+1j),(1-9j),(-1-2j),(4-5j),(7-6j),(9-7j),(9-7j),(12-10j),(12-13j),(14-11j),(11-12j),(10-13j),(13-13j),(11-13j),(4-12j),(7-2j),(11-4j),(12-1j),(14-4j),(12-2j),(10+1j),(19+7j),(13-1j),(20-4j),(17+0j),(10-2j),(15+1j),(15+3j),(13-1j),(17-3j),(14+2j),(4+6j),1697978119.344881
(3-5j),(4-9j),(1-9j),(6-11j),(8-15j),(5-10j),(8-15j),(6-15j),(5-16j),(5-18j),-18j,(3-20j),(2-15j),-16j,-15j,-15j,(3-6j),-8j,-7j,(-1-1j),(2-5j),(4-3j),(4-1j),(8+0j),(8+5j),(5+1j),(11+2j),(11+5j),(19+10j),(12+7j),(14+7j),(17+5j),(14+0j),(11+7j),(15+1j),(9+5j),(7+7j),(6+8j),(3+12j),(5+8j),(-2+15j),(7+24j),(5+21j),(9+11j),(2+19j),(4+11j),(3+9j),(4+15j),(5+10j),(-3+11j),(-3+11j),(-1+6j),1697978119.376477
(8-4j),(7-1j),(15+5j),(14+2j),(15+1j),(14-4j),(16+0j),(16+0j),(19-4j),(17-8j),(19-5j),(17-13j),(18-10j),(12-14j),(13-10j),(16-10j),(7-3j),(5-5j),-7j,(10-5j),(-1-8j),(9-4j),(4-3j),(8+5j),(6+15j),(4+14j),(1+15j),(12+13j),(2+15j),(5+10j),(1+15j),(12+11j),(12+14j),(8+14j),(13+6j),(6+7j),(2+13j),17j,11j,(-3+14j),17j,21j,(2+18j),(-6+11j),(1+19j),(-3+14j),(1+12j),(-8+16j),(-3+12j),(-5+6j),(-3+8j),(-9+18j),1697978119.3936672
-29j,(21-46j),(21-49j),(15-58j),(23-57j),(16-61j),(16-69j),(19-73j),(5-78j),(-1-76j),(-7-86j),(-22-80j),(-25-79j),(-18-75j),(-24-62j),(-11-65j),(-6-46j),(3-53j),-40j,(5-27j),(28-21j),(29-18j),(32-14j),(29-14j),(42-14j),(51-14j),(45+0j),(80-6j),(71-7j),(81+22j),(75-4j),(83-8j),(87-14j),(60-11j),(54-12j),(39-18j),(45+7j),(53+16j),(66+20j),(62+30j),(66+23j),(78+51j),(61+24j),(51+32j),(73+33j),(64+26j),(64+14j),(40+23j),(38+38j),(43+34j),(37+37j),(37+42j),1697978119.3984249
(-6+3j),(-11-5j),(-11-1j),(-14-5j),(-18-4j),(-17-5j),(-23-7j),(-16-4j),(-18+1j),(-21+1j),(-22+3j),(-20+6j),(-17+6j),(-14+7j),(-15+8j),(-11+7j),(-9+3j),(-10+4j),(-6+3j),(-3+1j),(-9+0j),(-7-6j),(-2-4j),(-4-12j),(-5-9j),(-6-10j),(-5-15j),(-4-13j),(-3-13j),(-4-17j),(-9-14j),(-5-21j),(-9-17j),(-6-16j),(-8-14j),(-7-16j),-15j,-13j,(2-15j),(4-16j),(3-18j),(5-16j),(1-22j),-20j,(7-16j),(1-17j),(4-11j),(4-19j),(-1-12j),(-1-20j),(3-11j),(9-12j),1697978119.4232278
(8+4j),(9+0j),(11+13j),(9+5j),(13+10j),(15+8j),(16+9j),(22+7j),(14+5j),(19+6j),(20+7j),(21+4j),(18+4j),(19+1j),(13+1j),(15-2j),(9-4j),(10+0j),(6+3j),(7+3j),(8+2j),(2+3j),(-2+0j),(-3+6j),(-5+9j),(-5+11j),(-7+15j),(-3+11j),(-9+18j),(-9+12j),(-8+19j),(-9+18j),(-7+20j),(-3+22j),(-7+15j),(-3+7j),(-7+7j),(-11+12j),(-14+9j),(-15+10j),(-12+4j),(-12+17j),(-12+16j),(-19+4j),(-20+20j),(-10+6j),(-15+4j),(-15+4j),(-17+2j),(-15-2j),(-9+8j),(-14-6j),1697978119.4292185
(-37-33j),(-14-19j),(-5-34j),(-18-20j),(-29-29j),(-31-22j),(-26-21j),(-36-12j),(-39-14j),(-33-17j),(-36-16j),(-48-18j),(-48-1j),(-40-3j),(-42+9j),(-37-2j),(-23+4j),(-14-9j),(-20-3j),(-18-5j),(-6-8j),(-9-15j),(-11-15j),(-6-15j),(6-19j),(-5-33j),(2-42j),(-2-42j),(5-36j),(13-45j),(9-34j),(-1-40j),(2-47j),(3-37j),(-3-33j),(6-25j),(18-26j),(18-27j),(23-27j),(29-27j),(18-30j),(51-38j),(30-31j),(30-27j),(17-24j),(10-23j),(16-29j),(22-22j),(26-10j),(20-6j),(23-17j),(24-12j),1697978119.4498076
(-5+5j),(-3+7j),12j,(1+13j),(6+13j),(5+8j),(9+20j),(4+17j),(8+14j),(9+14j),(11+14j),(11+13j),(12+12j),(12+9j),(13+8j),(12+8j),(7+7j),(9+5j),(5+6j),(1+7j),(3+8j),(-2+9j),(-1+3j),(-3+2j),(-4+5j),(-6+5j),(-7+8j),(-13+11j),(-13+9j),(-14+5j),(-13+13j),(-17+13j),(-10+14j),(-12+11j),(-12+8j),(-11+4j),(-9+2j),(-12+2j),(-14+2j),(-14+3j),(-14-3j),(-18+2j),(-22+8j),(-14+1j),(-20+0j),(-13-1j),(-14+4j),(-11+2j),(-8+4j),(-15-4j),(-12-1j),(-13-5j),1697978119.466811
(-4-7j),(-6-7j),(-7-7j),(-9-9j),(-14-11j),(-14-8j),(-13-8j),(-13-8j),(-16-8j),(-18-7j),(-17-6j),(-19-2j),(-18-4j),(-18-1j),(-16-3j),(-15-1j),(-9-1j),(-7-2j),(-10-3j),(-8+0j),(-3-5j),(-2-5j),(-5-10j),(2-4j),(3-10j),-14j,(3-15j),(5-14j),(2-17j),(6-19j),(2-12j),(7-16j),(3-19j),(1-15j),(6-14j),(7-11j),(9-11j),(8-13j),(12-12j),(12-10j),(10-10j),(9-5j),(13-19j),(13-5j),(15-13j),(11-4j),(10-7j),(8-4j),(13-8j),(10-12j),(8-6j),(12-1j),1697978119.472774
