32;34;0;2;0;0;0;0;0;0;0;0;-1;-13;6;-19;-4;-21;-1;-20;3;-24;-2;-27;-1;-27;-1;-24;0;-28;1;-27;0;-27;1;-30;-6;-23;0;-24;-7;-17;-2;-19;-1;-16;-6;-1;-4;-7;0;-2;-1;-3;1;4;4;3;2;15;10;11;5;9;0;0;10;8;7;13;7;14;10;21;5;20;7;14;6;12;10;10;8;12;2;7;0;8;-4;8;-8;10;-6;14;-10;9;-11;11;-10;12;-7;14;-7;14;-8;7;-7;7;-8;5;-7;6;-8;3;-4;3;-4;2;0;0;0;0;0;0;0;0;0;0;1697968059.0219982;
48;-125;0;8;0;0;0;0;0;0;0;0;0;-27;8;-25;6;-25;5;-28;5;-29;2;-30;5;-27;3;-32;2;-30;1;-31;1;-32;-2;-32;-4;-27;-4;-24;-4;-20;-2;-19;-3;-13;-3;-12;-3;-8;-4;-2;-1;2;0;5;3;7;3;9;5;12;6;12;0;0;5;11;3;13;2;16;-2;18;8;18;6;17;7;21;5;14;1;13;1;10;-5;10;-7;11;-9;12;-9;13;-10;10;-13;8;-18;10;-13;9;-11;11;-10;7;-11;6;-12;7;-11;2;-5;3;-5;2;-5;-2;0;0;0;0;0;0;0;0;0;0;1697968059.0377305;
-32;30;0;1;0;0;0;0;0;0;0;0;-17;-20;-16;-24;-17;-24;-20;-26;-19;-28;-24;-29;-24;-25;-27;-28;-25;-24;-21;-21;-20;-24;-23;-22;-20;-17;-15;-16;-11;-14;-10;-13;-9;-9;-5;-6;-4;-5;-1;-2;2;1;7;3;7;4;10;5;11;7;12;7;0;0;9;9;8;12;8;15;8;16;10;16;10;15;9;13;8;11;5;9;1;7;-4;7;-6;8;-8;9;-10;9;-10;7;-13;7;-15;8;-14;9;-13;9;-12;9;-10;8;-9;7;-7;5;-7;3;-6;2;-7;0;0;0;0;0;0;0;0;0;0;0;1697968063.0404196;
48;-125;0;8;0;0;0;0;0;0;0;0;-17;-1;-26;-1;-33;2;-30;-2;-33;-4;-33;0;-33;5;-35;5;-32;1;-32;1;-32;0;-33;2;-28;4;-23;2;-22;1;-22;0;-14;4;-12;5;-10;5;-3;4;1;2;7;3;4;-4;10;-1;11;-3;13;-3;0;0;14;1;17;4;18;4;20;5;20;4;19;4;20;2;15;4;15;3;9;1;4;7;3;10;1;11;0;12;-5;14;-6;15;-9;19;-7;19;-5;19;-6;18;-5;17;-5;15;-4;14;-6;10;-6;7;-8;6;0;0;0;0;0;0;0;0;0;0;1697968065.2080014;
112;-121;0;8;0;0;0;0;0;0;0;0;-17;-3;-17;-1;-23;-7;-10;-9;-26;6;-22;-4;-31;-7;-19;9;-34;2;-28;-4;-27;-1;-31;5;-23;2;-18;3;-17;0;-20;-2;-13;5;-9;5;-6;-1;-6;8;-2;0;4;-5;2;-4;-3;-3;5;8;10;8;0;0;12;-2;13;10;17;7;12;8;9;0;16;8;15;4;15;-1;9;1;6;7;-3;5;-3;11;1;10;-3;13;-4;6;-11;14;-9;10;-11;15;-2;16;-2;12;-2;16;-4;13;-5;10;-7;7;-6;9;-9;6;0;0;0;0;0;0;0;0;0;0;1697968065.2320082;
-16;-17;0;14;0;0;0;0;0;0;0;0;0;-21;1;-22;1;-30;1;-32;0;-31;-2;-33;-9;-36;-8;-28;-4;-27;-7;-38;0;-34;-5;-31;-4;-26;-3;-23;-2;-20;-1;-23;-3;-17;-4;-14;-5;-10;-5;-3;-3;1;-2;5;1;7;1;10;2;13;2;13;0;0;0;14;-2;16;-4;16;-5;18;-4;17;-4;19;-3;17;-4;14;-4;12;-4;6;-8;3;-10;3;-12;1;-13;0;-14;-3;-15;-6;-20;-9;-20;-7;-20;-6;-19;-6;-18;-5;-17;-6;-14;-5;-11;-5;-8;-6;-6;-8;0;0;0;0;0;0;0;0;0;0;1697968065.2783017;
80;37;0;2;0;0;0;0;0;0;0;0;-11;-12;-21;-6;-23;2;-31;-7;-23;-5;-24;-5;-31;-2;-34;3;-30;2;-29;4;-33;-3;-34;8;-34;10;-28;9;-25;5;-25;5;-20;4;-17;3;-15;4;-13;5;-7;3;-1;-4;-2;-4;7;-3;6;-1;7;0;0;0;6;-7;15;-4;16;-2;19;-5;18;-4;18;-1;19;-1;18;-1;13;3;9;1;8;5;7;6;7;12;8;12;8;14;4;17;1;22;1;18;2;23;2;22;1;21;0;19;-2;16;-2;14;-3;10;-4;12;0;0;0;0;0;0;0;0;0;0;1697968067.0413983;
-96;82;0;4;0;0;0;0;0;0;0;0;3;-16;-3;-14;-7;-24;5;-21;-4;-22;-2;-27;-5;-28;-7;-32;-12;-27;-14;-29;-11;-31;-16;-32;-14;-28;-14;-22;-13;-22;-13;-24;-10;-20;-11;-13;-8;-12;-11;-8;-4;-2;-5;-3;3;0;-2;2;8;0;5;5;0;0;6;6;11;6;10;13;12;8;13;12;12;10;12;14;9;12;14;9;3;12;3;4;2;12;-4;14;-6;16;-4;12;-6;16;-11;17;-10;20;-10;21;-12;18;-10;19;-9;17;-10;16;-10;10;-9;11;-15;8;0;0;0;0;0;0;0;0;0;0;1697968067.0493999;
80;37;0;2;0;0;0;0;0;0;0;0;-12;-2;-20;3;-16;4;-19;5;-26;4;-30;8;-27;8;-32;11;-29;15;-29;12;-29;9;-33;13;-28;14;-22;11;-23;13;-24;14;-17;15;-14;8;-10;8;-16;4;-3;5;-6;-1;1;-2;6;-3;7;-5;8;-6;0;0;6;-8;16;-3;6;-8;13;-7;13;-7;17;-11;17;-8;18;-7;11;-8;7;-5;9;4;8;7;10;7;10;12;6;12;9;15;6;17;7;22;8;23;7;22;7;18;5;19;2;16;-1;15;-3;15;-5;14;0;0;0;0;0;0;0;0;0;0;1697968067.0616295;
96;110;0;6;0;0;0;0;0;0;0;0;-5;1;-6;-5;-9;-4;-9;-8;-13;-4;-9;-9;-18;-4;-16;-8;-19;-2;-16;-4;-17;-3;-22;-3;-18;0;-18;0;-14;1;-16;-1;-11;1;-12;-2;-8;0;-8;0;-3;0;0;-4;2;-3;2;-2;5;-3;5;-5;0;0;5;-6;5;-2;9;-3;15;-4;12;-4;13;-5;12;-6;10;-5;7;-6;5;2;6;1;5;3;6;5;6;6;5;6;5;10;3;10;4;8;5;12;1;11;7;10;4;12;1;8;0;11;3;9;-2;7;0;0;0;0;0;0;0;0;0;0;1697968067.1681812;
96;110;0;6;0;0;0;0;0;0;0;0;7;-2;13;-6;9;-7;5;-17;7;-9;6;-16;16;-14;6;-17;9;-19;9;-17;11;-19;7;-21;7;-19;3;-21;7;-16;5;-17;2;-17;1;-11;2;-7;1;-11;0;-2;-1;-2;1;0;4;1;2;6;0;7;0;0;-1;9;-5;9;-3;15;-6;14;-2;13;-4;19;0;12;-2;14;-4;9;-5;7;-6;5;-6;5;-10;5;-11;7;-9;1;-11;-1;-13;0;-13;-11;-13;-5;-14;-7;-18;-7;-10;-3;-12;-7;-5;-7;-6;-6;-7;-10;0;0;0;0;0;0;0;0;0;0;1697968067.2097037;
96;110;0;6;0;0;0;0;0;0;0;0;-4;-13;-11;-6;-12;2;-14;-2;-20;-3;-18;-1;-16;-4;-14;4;-18;-1;-21;-1;-21;-3;-22;0;-21;1;-18;0;-14;1;-17;-1;-15;1;-8;4;-8;3;-6;3;-2;-1;-3;0;-2;-3;2;-5;5;-3;6;-6;0;0;6;-4;6;-2;11;-7;12;-5;9;-8;11;-6;12;-7;9;-6;12;-6;5;-2;5;0;9;1;8;1;9;8;4;6;4;7;4;11;4;12;4;12;3;9;3;11;4;10;2;10;1;9;0;8;-3;9;0;0;0;0;0;0;0;0;0;0;1697968067.254972;
96;110;0;6;0;0;0;0;0;0;0;0;8;-3;7;-4;10;3;12;-9;11;-8;14;-13;17;-10;15;-8;13;-13;13;-13;15;-12;18;-17;13;-15;12;-16;10;-13;11;-13;7;-10;8;-8;5;-9;4;-8;2;-3;2;0;2;1;0;3;1;5;0;7;0;0;0;8;-4;9;-5;11;-5;11;-2;13;-4;13;-4;14;-4;12;-3;11;-2;8;-6;4;-7;4;-10;3;-10;3;-9;2;-9;-3;-13;-2;-12;-5;-14;-3;-11;-4;-13;-3;-13;-3;-11;-2;-11;-3;-8;-5;-7;-8;0;0;0;0;0;0;0;0;0;0;1697968067.3021111;
96;110;0;6;0;0;0;0;0;0;0;0;18;3;15;12;30;4;15;-6;15;-2;15;-4;10;-1;24;1;22;-3;20;-1;24;-2;26;-1;20;-1;20;1;18;-5;17;-1;12;2;12;-3;7;-1;8;-6;5;-1;0;6;-1;8;-5;2;-4;6;-7;4;0;0;-11;7;-14;10;-10;8;-12;8;-14;6;-16;8;-14;12;-14;9;-14;7;-17;2;-7;1;-5;-4;-13;-1;-13;-3;-13;-4;-9;-9;-11;-13;-11;-17;-14;-14;-11;-12;-9;-12;-11;-12;-10;-11;-7;-13;-5;-14;-4;-11;0;0;0;0;0;0;0;0;0;0;1697968067.4871678;
96;110;0;6;0;0;0;0;0;0;0;0;6;-2;10;-3;15;-2;14;-4;14;-3;13;-5;20;-7;15;-6;15;-8;16;-9;16;-11;19;-13;15;-14;14;-13;10;-10;13;-11;6;-8;7;-10;8;-7;4;-6;4;-1;2;2;5;0;3;3;3;5;2;6;0;0;2;9;0;11;-3;15;0;14;1;12;1;17;3;15;2;10;4;11;2;9;-3;9;-5;9;-4;8;-9;12;-8;6;-10;6;-15;3;-14;9;-11;4;-12;7;-13;10;-21;9;-13;10;-13;5;-10;4;-10;3;0;0;0;0;0;0;0;0;0;0;1697968067.5111754;
96;110;0;6;0;0;0;0;0;0;0;0;-8;-7;-5;-1;-10;-2;-10;-4;-16;-5;-16;-4;-21;-7;-23;-4;-20;-2;-20;-1;-23;-3;-24;-1;-19;2;-22;4;-18;3;-17;1;-13;1;-14;0;-8;4;-10;0;-2;1;-4;-6;3;-3;2;-4;1;-9;3;-5;0;0;2;-13;6;-14;4;-14;7;-10;8;-14;5;-19;5;-16;9;-15;1;-13;1;-5;2;-11;8;-8;6;-9;10;-5;11;-4;14;-2;17;0;16;0;18;-2;16;-4;15;-3;14;-4;13;-1;11;1;13;3;11;4;0;0;0;0;0;0;0;0;0;0;1697968067.5320203;
96;110;0;6;0;0;0;0;0;0;0;0;-3;8;-10;2;-10;10;-7;13;-8;14;-10;11;-8;15;1;15;-8;14;-9;16;-10;18;-8;20;-5;17;-3;17;-3;15;-3;14;-1;12;-1;9;0;9;1;5;-3;1;-4;0;-4;-2;-5;-3;-7;-3;-9;-5;0;0;-9;-6;-9;-8;-8;-13;-12;-9;-15;-10;-12;-12;-15;-6;-15;-9;-13;-6;-3;-7;-3;-7;-8;-9;-4;-9;-10;-17;-6;-16;1;-14;-2;-15;1;-11;1;-16;-1;-15;-2;-15;-2;-15;0;-13;2;-10;1;-13;4;-9;0;0;0;0;0;0;0;0;0;0;1697968067.5539052;
96;110;0;6;0;0;0;0;0;0;0;0;6;-4;10;2;13;-5;15;-1;14;-1;16;-2;17;-6;14;-6;17;-5;18;-7;17;-6;21;-8;17;-7;15;-7;12;-8;15;-5;12;-9;8;-7;8;-5;5;-4;0;-6;-1;3;4;5;2;0;-2;8;2;8;0;0;-6;10;-4;9;-8;15;-10;12;-4;16;-6;14;-5;14;-2;13;-3;17;-8;7;-7;3;-13;3;-11;7;-9;6;-9;4;-11;-1;-17;1;-11;2;-15;-1;-14;0;-16;0;-19;1;-18;-1;-11;-3;-9;-4;-11;-6;0;0;0;0;0;0;0;0;0;0;1697968067.5631099;
96;110;0;6;0;0;0;0;0;0;0;0;9;-3;17;1;14;-7;17;-8;15;-5;11;-6;16;-9;17;-10;16;-11;16;-10;18;-7;16;-11;17;-13;13;-17;11;-15;15;-12;10;-13;12;-9;4;-7;7;-11;4;-4;1;-3;7;-1;4;3;4;4;6;6;0;0;2;9;-1;10;4;10;1;15;2;14;4;13;6;16;4;12;5;12;3;10;-1;11;-2;9;-2;11;-4;9;-5;9;-7;9;-10;13;-13;5;-11;13;-11;9;-9;11;-6;18;-9;10;-9;7;-11;5;-9;5;0;0;0;0;0;0;0;0;0;0;1697968067.619492;
96;110;0;6;0;0;0;0;0;0;0;0;2;-8;4;-12;4;-12;6;-19;3;-21;5;-17;2;-23;3;-17;-1;-18;1;-20;2;-21;0;-24;-3;-21;-4;-20;-5;-17;-3;-19;-3;-14;-3;-12;-3;-11;-3;-8;-1;-6;2;-4;3;-4;5;-3;7;-2;8;0;0;0;9;0;11;4;12;2;12;3;15;2;15;2;19;1;14;0;14;3;8;2;8;4;9;4;6;7;7;9;7;10;4;10;5;14;5;13;6;12;3;12;7;14;7;11;6;11;3;11;4;9;0;9;0;0;0;0;0;0;0;0;0;0;1697968067.6564906;
96;110;0;6;0;0;0;0;0;0;0;0;-4;-1;-15;-4;-12;-4;-14;-8;-15;-9;-17;-3;-26;-2;-10;-3;-20;-6;-19;0;-21;-4;-25;0;-21;2;-20;0;-19;6;-15;1;-14;4;-10;1;-9;-2;-9;1;-4;-3;-4;-4;-3;-4;2;-8;1;-1;-1;-10;0;0;3;-11;4;-11;7;-12;7;-12;6;-15;8;-15;2;-17;5;-14;5;-17;4;-9;6;-9;7;-9;8;-7;11;-7;11;-6;12;-2;15;-2;14;-1;15;-2;14;0;16;-4;14;-3;14;-2;14;0;10;-1;10;3;0;0;0;0;0;0;0;0;0;0;1697968067.6986058;
