32;34;0;2;0;0;0;0;0;0;0;0;9;-8;12;-8;15;-12;17;-11;17;-11;18;-11;21;-13;22;-16;23;-20;22;-20;24;-22;23;-28;18;-25;17;-24;15;-24;15;-23;11;-20;9;-19;9;-17;7;-14;5;-9;8;-7;7;-3;7;-2;11;1;11;4;0;0;13;6;12;7;12;9;12;13;13;15;18;16;19;16;18;13;18;14;15;12;13;15;11;15;11;19;11;22;12;20;10;21;11;25;12;23;13;22;12;20;11;20;11;21;10;20;7;18;6;18;4;18;0;0;0;0;0;0;0;0;0;0;1697985764.9750185;
48;-125;0;8;0;0;0;0;0;0;0;0;4;9;4;13;6;16;8;17;7;18;7;18;7;21;10;21;12;23;14;23;15;24;19;24;19;20;17;19;18;16;17;15;16;11;12;11;11;9;8;8;3;6;4;8;3;7;-2;7;-3;10;-6;12;0;0;-8;10;-9;13;-10;12;-14;11;-14;12;-15;14;-15;16;-14;15;-14;16;-14;13;-14;11;-14;11;-18;9;-19;10;-19;10;-20;10;-22;10;-21;11;-20;11;-19;10;-19;9;-19;10;-19;8;-18;6;-17;5;-16;3;0;0;0;0;0;0;0;0;0;0;1697985765.0036283;
-32;30;0;1;0;0;0;0;0;0;0;0;10;5;12;8;16;10;18;9;19;10;20;8;25;11;26;4;26;6;28;6;27;6;30;6;26;2;22;2;21;-2;18;5;17;5;21;2;14;4;17;6;9;-6;12;6;3;16;-6;10;1;14;12;11;0;0;-6;18;-3;13;-9;15;-13;17;-15;21;-18;25;-2;34;-15;19;-13;12;-17;12;-13;18;-22;24;-13;11;-23;15;-13;17;-22;15;-20;16;-19;18;-18;16;-17;15;-17;15;-16;14;-17;12;-17;10;-15;9;-16;8;0;0;0;0;0;0;0;0;0;0;1697985768.9932485;
48;-125;0;8;0;0;0;0;0;0;0;0;-7;10;-8;12;-11;16;-10;17;-10;19;-10;19;-11;23;-9;25;-8;27;-4;27;-5;28;-3;28;-1;26;0;24;1;20;2;21;1;16;0;15;-1;12;-2;11;-3;9;-5;8;-6;7;-8;6;-10;4;-11;3;0;0;-13;3;-16;1;-16;1;-17;0;-18;-1;-20;-1;-20;0;-19;3;-19;0;-17;1;-16;-4;-17;-5;-19;-5;-21;-6;-19;-6;-20;-8;-21;-10;-20;-8;-20;-9;-21;-8;-20;-10;-20;-9;-18;-11;-20;-11;-17;-12;-16;-12;0;0;0;0;0;0;0;0;0;0;1697985771.0899274;
112;-121;0;8;0;0;0;0;0;0;0;0;14;-13;33;-5;25;-9;25;-19;23;-13;19;-16;17;-19;12;-21;18;-28;20;-26;24;-26;19;-31;13;-28;19;-26;10;-22;12;-16;8;-22;7;-16;4;-13;6;-5;3;-7;9;-4;9;0;11;-10;11;-2;6;2;0;0;11;-3;12;5;17;5;13;9;15;10;25;11;26;6;26;9;25;5;16;-1;18;10;11;16;14;11;17;16;12;15;17;18;13;14;17;20;18;17;17;15;12;12;13;12;13;18;6;19;10;15;6;16;0;0;0;0;0;0;0;0;0;0;1697985771.0979292;
-16;-17;0;14;0;0;0;0;0;0;0;0;9;8;9;9;14;14;15;13;12;15;16;17;18;18;23;15;24;15;26;13;26;12;28;9;24;8;24;6;20;4;23;5;17;3;16;3;11;4;10;3;8;5;6;7;5;6;4;7;3;10;0;11;0;0;-2;13;-4;15;-4;13;-7;15;-8;15;-9;18;-7;20;-6;20;-7;19;-4;17;-8;14;-8;13;-10;15;-13;14;-13;15;-14;14;-16;16;-14;14;-15;14;-15;14;-16;13;-16;13;-16;12;-16;10;-15;10;-16;8;0;0;0;0;0;0;0;0;0;0;1697985771.1422539;
80;37;0;2;0;0;0;0;0;0;0;0;-13;-5;-14;-10;-18;-11;-19;-10;-20;-10;-21;-11;-29;-13;-23;-12;-27;-7;-29;-7;-31;-6;-32;-3;-30;0;-26;1;-24;2;-23;2;-19;3;-17;2;-14;1;-12;-1;-10;-5;-9;-4;-9;-7;-6;-8;-7;-12;-5;-13;0;0;-3;-16;-2;-19;-2;-18;-1;-21;-1;-21;-1;-25;-4;-26;-4;-21;-4;-23;-4;-20;0;-20;1;-20;2;-22;3;-24;5;-23;3;-21;7;-28;6;-26;7;-24;7;-24;7;-27;5;-20;5;-22;6;-20;6;-18;8;-17;0;0;0;0;0;0;0;0;0;0;1697985771.9650648;
-96;82;0;4;0;0;0;0;0;0;0;0;-8;-1;-14;-5;-14;-9;-20;-9;-20;-11;-21;-10;-24;-10;-22;-12;-28;-9;-28;-6;-32;-6;-33;-3;-30;0;-27;0;-26;2;-26;-2;-25;10;-17;0;-16;-4;-13;1;-9;-5;-10;-6;-7;-7;-6;-9;-5;-12;-5;-13;0;0;-3;-16;-2;-17;0;-18;1;-20;1;-21;1;-24;-1;-26;-2;-24;-2;-22;-2;-19;3;-19;4;-18;6;-19;7;-20;8;-20;10;-20;12;-22;11;-22;11;-22;12;-23;11;-23;11;-23;10;-21;10;-19;11;-17;12;-16;0;0;0;0;0;0;0;0;0;0;1697985771.9968407;
80;37;0;2;0;0;0;0;0;0;0;0;-2;-8;0;-17;11;-17;6;-18;6;-20;8;-21;10;-25;8;-23;3;-27;2;-25;4;-31;0;-33;-2;-30;-3;-28;-4;-24;-6;-25;-9;-20;-6;-15;-1;-15;-1;-12;0;-12;3;-10;6;-8;7;-7;10;-6;12;-5;0;0;14;-4;15;-4;17;-2;18;-3;20;-3;23;-4;23;-3;22;-5;19;-7;17;-5;17;-1;18;0;19;2;20;4;19;5;22;6;24;5;23;8;22;5;23;6;23;6;23;4;21;5;18;6;18;7;17;7;0;0;0;0;0;0;0;0;0;0;1697985772.0060189;
96;110;0;6;0;0;0;0;0;0;0;0;-5;-3;-5;-1;-2;-15;-17;-1;-17;-8;-16;-1;-24;-4;-23;-5;-22;-6;-22;-5;-27;-3;-28;-2;-22;0;-19;-1;-20;9;-21;7;-16;4;-10;0;-11;6;-7;2;-9;-1;-7;-7;-8;-11;-1;-3;-3;-6;-1;-8;0;0;2;-8;-2;-16;-1;-15;-9;-17;8;-16;0;-21;2;-22;9;-20;3;-20;1;-12;4;-12;5;-12;6;-14;9;-12;8;-11;12;-11;13;-14;13;-11;11;-11;11;-10;14;-12;8;-12;11;-12;10;-11;10;-7;11;-6;0;0;0;0;0;0;0;0;0;0;1697985772.0712097;
